title,lng,lat
美源金典,121.523107,24.999367
Madonna e Bambin Gesù,15.152117,36.913309
Mural na podwórku,21.006798,52.175632
大阪都市景観建築賞 大阪市長賞,135.499262,34.703838
일주문 밖 거리,127.03703,37.578319
Cromer War Memorial,1.301504,52.931057
Coreto do Passeio Alegre,-8.670599,41.14812
Posto de Correio do Corgo,-8.647047,41.123445
Navy Star,-85.069346,35.06274
常に5時の時計,135.499596,34.704119
Speeltuin Stal,6.050872,53.095694
울림2,127.184316,37.571996
南門公園,120.357592,22.621453
新世界いっとくのビリケンさん,135.497534,34.707276
文興公園,120.286334,22.638938
